ReturnHistoryID,HistoricalPerformanceID,ExternalID,EndDate,TimePeriod,Value,CategorySize,Type
385256501,16742907,10000,10/31/2013,M1,4.25002,NULL,6
385256502,16742907,10000,9/30/2013,M1,5.05148,NULL,6
385256503,16742907,10000,8/31/2013,M1,-4.28121,NULL,6
385256504,16742907,10000,7/31/2013,M1,6.43617,NULL,6
385256505,16742907,10000,6/30/2013,M1,-0.7056,NULL,6
385256506,16742907,10000,5/31/2013,M1,2.53406,NULL,6
385256507,16742907,10000,4/30/2013,M1,0.06677,NULL,6
385256508,16742907,10000,3/31/2013,M1,4.62082,NULL,6
385256509,16742907,10000,2/28/2013,M1,1.798,NULL,6
